codigo,descripcion
A03-435.4,Fabricación de prendas exteriores de punto
A03-437.1,Fabricación de alfombras y tapices
A03-437.2,Fabricación de tejidos impregnados
A03-439.1,Cordelería
A03-439.2,"Fabricación de fieltros, tules, encajes, pasamanería, etc."
A03-439.3,Fabricación de textiles con fibras de recuperación
A03-439.9,Otras industrias textiles no clasificadas en otras partes
A03-442.1,Fabricación de artículos de marroquinería y viajes
A03-442.2,Fabricación de guantes de piel
A03-442.9,Fabricación otros artículos de cuero no clasificadas en otras partes
A03-455.1,Confección de artículos textiles para el hogar y tapicería
A03-455.9,Confección de otros artículos textiles no clasificados en otras partes
A03-456.1,Peletería natural
A03-456.2,Peletería artificial
A03-462.1,Chapas de madera
A03-462.2,"Maderas chapadas, contrachapadas y tableros celulares"
A03-462.3,Tableros y paneles de fibras y de partículas
A03-462.4,Maderas mejoradas
A03-468.1,Fabricación de mobiliario de madera para el hogar
A03-468.2,Fabricación de mobiliario de madera escolar y de oficina
A03-468.3,"Fabricación de muebles diversos de madera, junco, mimbre y caña"
A03-468.4,Fabricación de ataúdes
A03-468.5,"Actividades anexas a la industria del mueble (acabado, barnizado, tapizado, dorado, etc.)."
A03-473.1,Fabricación de cartón ondulado y artículos de cartón ondulado
A03-473.2,Fabricación de otros artículos de envase y embalaje en papel y cartón
A03-473.3,"Fabricación de artículos de oficina, escritorio, etc. de papel y cartón"
A03-473.4,Fabricación de artículos de decoración y de uso doméstico en papel y cartón
A03-473.9,Fabricación de otros manipulados en papel y cartón no clasificados en otras partes
A03-476.1,Edición de libros
A03-476.2,Edición de periódicos y revistas
A03-476.9,Otras ediciones no clasificadas en otras partes
A03-481.1,Fabricación cubiertas y cámaras
A03-481.2,Recauchutado y reconstrucción de cubiertas
A03-481.9,Fabricación de otros artículos caucho no clasificados en otras partes
A03-482.1,Fabricación productos semielaborados de materias plásticas
A03-482.2,Fabricación de artículos acabados de materias plásticas
A03-491.1,Joyería
A03-491.2,Bisutería
A03-494.1,"Fabricación de juegos, juguetes y artículos de puericultura"
A03-494.2,Fabricación de artículos de deporte
A03-495.1,Fabricación de artículos de escritorio
A03-495.9,Fabricación de otros artículos no clasificadas en otras partes
A03-501.1,"Construcción completa, reparación y conservación de edificaciones"
A03-501.2,"Construcción completa, reparación y conservación  de obras civiles"
A03-501.3,Albañilería y pequeños trabajos de construcción en general
A03-502.1,Demoliciones y derribos en general
A03-502.2,"Consolidación y preparación de terrenos para la construcción de edificaciones, incluidos sistemas de agotamiento y dragados"
A03-502.3,"Consolidación y preparación de terrenos para la realización de obras civiles, incluidos sistemas de agotamiento y dragados"
A03-502.4,Cimentaciones y pavimentaciones para la construcción de edificaciones
A03-502.5,Cimentaciones y pavimentación en obras civiles
A03-502.6,Perforaciones para alumbramiento de aguas
A03-503.1,"Preparación y montaje de estructuras, cubiertas y cubriciones en edificaciones"
A03-503.2,Preparación y montaje de estructuras y  cubiertas y cubriciones en obras civiles
A03-503.3,"Montaje e instalación de estructuras metálicas para transportes, puertos, obras hidráulicas, puentes, postes y torres metálicas, carriles, etc."
A03-503.4,"Elaboración de obra en piedra natural o artificial, o con materiales para la construcción, siempre que no se empleen maquinas movidas mecánicamente ni más de cuatro obreros"
A03-504.1,"Instalaciones eléctricas en general. Instalación de redes telegráficas, telefónicas, telefonía sin hilos y televisión. Instalaciones de sistemas de balización de puertos y aeropuertos"
A03-504.2,Instalaciones de fontanería
A03-504.3,"Instalaciones de frio, calor y acondicionamiento de aire"
A03-504.4,Instalaciones de pararrayos y similares
A03-504.5,"Montaje e instalación de cocinas de todo tipo y clase, con todos sus accesorios, para todo uso, menos el industrial"
A03-504.6,Montaje e instalación de aparatos elevadores de cualquier clase y tipo
A03-504.7,"Instalaciones telefónicas, telegráficas, telegráficas sin hilos y de televisión, en edificios y construcciones de cualquier clase"
A03-504.8,"Montajes metálicos e instalaciones industriales completas, sin vender ni aportar la maquinaria ni los elementos objeto de la instalación o montaje"
A03-505.1,Revestimientos exteriores e interiores de todas clases y en todo tipo de obras
A03-505.2,Solados y pavimentos de todas clases y en cualquier tipo de obras
A03-505.3,Preparación y colocación de solados y pavimentos de madera de cualquier clase
A03-505.4,"Colocación de aislamientos fónicos, térmicos y acústicos de cualquier clase y para cualquier tipo de obras"
A03-505.5,Carpintería y cerrajería
A03-505.6,"Pintura de cualquier tipo y clase y revestimientos con papel, tejidos o plásticos y terminación y decoración de edificios y locales"
A03-505.7,Trabajos en yeso y escayola y decoración de edificios y locales
A03-506.0,"Instalación de andamios, cimbras, encofrados, etc., incluso para usos distintos de la construcción"
A03-612.1,"Comercio al por mayor de toda clase de productos alimenticios, bebidas y tabacos especificados en los epígrafes 612.2 a 612.7 y 612.9"
A03-612.2,"Comercio al por mayor de cereales, simientes, plantas, abonos, sustancias fertilizantes, plaguicidas, animales vivos, tabaco en rama, alimentos para el ganado y materias primas marinas (peces vivos, algas, esponjas, conchas, etc.)."
A03-612.3,"Comercio al por mayor de frutas y frutos, verduras, patatas, legumbres frescas y hortalizas."
A03-612.4,"Comercio al por mayor de carnes, productos y derivados cárnicos elaborados, huevos, aves y caza"
A03-612.5,"Comercio al por mayor de leche, productos lácteos, miel, aceites y grasas comestibles"
A03-612.6,Comercio al por mayor de bebidas y tabaco
A03-612.7,Comercio al por mayor de vinos y vinagres del país
A03-612.8,Comercio al por mayor de pescados y otros productos de la pesca y de la acuicultura.
A03-612.9,"Comercio al por mayor de otros productos alimenticios, helados de todas clases, etc."
A03-613.1,"Comercio al por mayor de toda clase de productos textiles, de confección, calzado y artículos de cuero especificados en los epígrafes 613.2 al 613.5 y 613.9"
A03-613.2,"Comercio al por mayor de tejidos por metros, textiles para el hogar y alfombras."
A03-613.3,Comercio al por mayor de prendas exteriores de vestir.
A03-613.4,"Comercio al por mayor de calzado, peletería, artículos de cuero y marroquinería."
A03-613.5,"Comercio al por mayor de camisería, lencería, mercería y géneros de punto."
A03-613.9,Comercio al por mayor de accesorios del vestido y otros productos textiles no clasificados en otras partes
A03-614.1,Comercio al por mayor de productos farmacéuticos y medicamentos.
A03-614.2,"Comercio al por mayor de productos de perfumería, droguería, higiene y belleza."
A03-614.3,Comercio al por mayor de productos para el mantenimiento y funcionamiento del hogar.
A03-614.4,Comercio al por mayor de productos zoosanitarios.
A03-615.1,"Comercio al por mayor de vehículos, motocicletas, bicicletas y sus accesorios."
A03-615.2,Comercio al por mayor de muebles
A03-615.3,Comercio al por mayor de aparatos electrodomésticos y ferretería.
A03-615.4,Comercio al por mayor de aparatos y materiales radioeléctricos y electrónicos.
A03-615.5,Comercio al por mayor de obras de arte y antigüedades
A03-615.6,Galerías de arte
A03-615.9,Comercio al por mayor de otros artículos de consumo duradero no especificados en los epígrafes anteriores.
A03-616.1,Comercio al por mayor de carbón.
A03-616.2,Comercio al por mayor de hierro y acero.
A03-616.3,Comercio al por mayor de minerales.
A03-616.4,Comercio al por mayor de metales no férreos en bruto y productos semielaborados.
A03-616.5,Comercio al por mayor de petróleo y lubricantes.
A03-616.6,Comercio al por mayor de productos químicos industriales.
A03-616.9,Otro comercio al por mayor interindustrial de la minería y química no especificado en los epígrafes anteriores.
A03-617.1,Comercio al por mayor de fibras textiles brutas y productos semielaborados.
A03-617.2,Comercio al por mayor de cueros y pieles en bruto.
A03-617.3,Comercio al por mayor de madera y corcho.
A03-617.4,"Comercio al por mayor de materiales de construcción, vidrio y artículos de instalación."
A03-617.5,Comercio al por mayor de maquinaria para la madera y el metal.
A03-617.6,Comercio al por mayor de maquinaria agrícola.
A03-617.7,Comercio al por mayor de maquinaria textil.
A03-617.8,Comercio al por mayor de maquinas y material de oficina.
A03-617.9,"Comercio al por mayor interindustrial excepto minería y química de otros productos, maquinaria y material"
A03-618.1,Comerciales exportadoras (exportación de toda clase de mercancías)
A03-618.2,"Comercio al por mayor de toda clase de mercancías, exclusivamente dentro de las zonas y depósitos francos con productos en ellos consignados y que se limite exclusivamente al aprovisionamiento de buques extranjeros y españoles de gran cabotaje y altura, así como al de aeronaves extranjeras y españolas del servicio internacional, ya en forma directa, ya a través de una previa exportación al extranjero."
A03-619.1,Comercio al por mayor de juguetes y artículos de deporte.
A03-619.2,"Comercio al por mayor de aparatos e instrumentos médicos, ortopédicos, ópticos y fotográficos."
A03-619.3,"Comercio al por mayor de metales preciosos, artículos de joyería, bisutería y de relojería."
A03-619.4,Comercio al por mayor de productos de papel y cartón.
A03-619.5,"Comercio al por mayor de artículos de papelería y escritorio, artículos de dibujo y bellas artes."
A03-619.6,"Comercio al por mayor de libros, periódicos y revistas."
A03-619.7,"Comercio al por mayor de instrumentos de precisión, medida y similares."
A03-619.8,Compra venta de ganado
A03-619.9,Comercio al por mayor de otros productos no clasificados en otras partes
A03-642.1,Comercio al por menor de carnes y despojo
A03-642.2,"Comercio al por menor, en dependencias de venta de carnicerías-charcuterías, de carnes frescas y congeladas, despojos y toda clase de productos y derivados carnicos"
A03-642.3,"Comercio al por menor, en dependencias de venta de carnicerías-salchichería, de carnes frescas y congeladas, despojos, productos procedentes de industrias cárnicas y productos cárnicos frescos, crudos, adobados, tocino salado, embutidos de sangre (morcillas) y aquellos otros tradicionales de estas características para los que estén autorizados"
A03-642.4,"Comercio al por menor, en carnicerías, de carnes frescas y congeladas, despojos y productos y derivados cárnicos elaborados"
A03-642.5,"Comercio al por menor de huevos, aves, conejos de granja, caza y de productos derivados de los mismos."
A03-642.6,"Comercio al por menor, en casquerías, de vísceras y despojos procedentes de animales de abasto, frescos y congelados."
A03-643.1,Comercio al por menor de pescados y otros productos de la pesca y de la acuicultura y de caracoles.
A03-643.2,Comercio al por menor de bacalao y de otros pescados en salazón.
A03-644.1,"Comercio al por menor de pan, pastelería, confitería y similares y de leche y productos lácteos."
A03-644.2,"Despachos de pan, panes especiales y bollería."
A03-644.3,"Comercio al por menor de productos de pastelería, bollería y confitería."
A03-644.4,Comercio al por menor de helados.
A03-644.5,Comercio al por menor de bombones y caramelos.
A03-644.6,"Comercio al por menor de masas fritas, con o sin coberturas o rellenos, patatas fritas, productos de aperitivo, frutos secos, golosinas, preparados de chocolate y bebidas refrescantes."
A03-646.1,"Comercio al por menor de labores de tabaco de todas clases y formas en expendedurías generales, especiales e interiores."
A03-646.2,Comercio al por menor de labores de tabaco de todas clases y formas en extensiones transitorias de expendedurías generales.
A03-646.3,Comercio al por menor de labores de tabaco de todas clases y formas en expendedurías de carácter complementario.
A03-646.4,"Comercio al por menor de labores de tabaco, realizado por establecimientos mercantiles, en régimen de autorizaciones de venta con recargo."
A03-646.5,"Comercio al por menor de labores de tabaco, realizado a través de maquinas automáticas, en régimen de autorizaciones de venta con recargo."
A03-646.6,"Comercio al por menor de tabacos de todas clases y formas, en localidades donde no este estancada la venta."
A03-646.7,"Comercio al por menor de labores de tabaco realizado por personas con discapacidad titulares de autorizaciones especiales. (Consultar descripción original en el Real Decreto Legislativo 1175/1990, 28 de septiembre)"
A03-646.8,Comercio al por menor de artículos para fumadores.
A03-647.1,Comercio al por menor de cualquier clase de productos alimenticios y de bebidas en establecimientos con vendedor.
A03-647.2,"Comercio al por menor de cualquier clase de productos alimenticios y de bebidas, en régimen de autoservicio o mixto en establecimientos cuya sala de ventas tenga una superficie inferior a 120 metros cuadrados."
A03-647.3,"Comercio al por menor de cualquier clase de productos alimenticios y de bebidas, en régimen de autoservicio o mixto en superservicio, denominados así cuando la superficie de su sala de ventas se halle comprendida entre 120 y 399 metros cuadrados."
A03-647.4,"Comercio al por menor de cualquier clase de productos alimenticios y bebidas, en régimen de autoservicio o mixto en supermercados, denominados así cuando la superficie de su sala de ventas sea igual o superior a 400 metros cuadrados."
A03-647.5,"Suministro de productos alimenticios y bebidas, excluido el tabaco, a través de maquinas expendedoras."
A03-651.1,"Comercio al por menor de productos textiles, confecciones para el hogar, alfombras y similares y artículos de tapicería."
A03-651.2,Comercio al por menor de toda clase de prendas para el vestido y tocado.
A03-651.3,Comercio al por menor de lencería y corsetería.
A03-651.4,Comercio al por menor de artículos de mercería y paquetería.
A03-651.5,Comercio al por menor de prendas especiales.
A03-651.6,"Comercio al por menor de calzado, artículos de piel e imitación o productos sustitutivos, cinturones, carteras, bolsos, maletas y artículos de viaje en general."
A03-651.7,Comercio al por menor de confecciones de peletería.
A03-652.1,"Comercio al por menor de medicamentos, productos sanitarios y de higiene personal. Farmacias"
A03-652.2,"Comercio al por menor de productos de droguería, perfumería y cosmética, limpieza, pinturas, barnices, disolventes, papeles y otros productos para la decoración y de productos químicos."
A03-652.3,"Comercio al por menor de productos de perfumería y cosmética, y de artículos para la higiene y el aseo personal."
A03-652.4,Comercio al por menor de plantas y hierbas en herbolarios
A03-653.1,Comercio al por menor de muebles excepto los de oficina.
A03-653.2,"Comercio al por menor de material y aparatos eléctricos, electrónicos, electrodomésticos y otros aparatos de uso domestico accionados por otro tipo de energía distinta de la eléctrica, así como de muebles de cocina."
A03-653.3,"Comercio al por menor de artículos de menaje, ferretería, adorno, regalo o reclamo incluyendo bisutería y pequeños electrodomésticos."
A03-653.4,Comercio al por menor de materiales de construcción y de artículos y mobiliario de saneamiento.
A03-653.5,"Comercio al por menor de puertas, ventanas y persianas, molduras y marcos, tarimas y parqué-mosaico, cestería y artículos de corcho."
A03-653.6,"Comercio al por menor de artículos de ""bricolaje""."
A03-653.9,Comercio al por menor de otros artículos para el equipamiento del hogar no clasificados en otras partes
A03-654.1,Comercio al por menor de vehículos terrestres.
A03-654.2,Comercio al por menor de accesorios y piezas de recambio para vehículos terrestres.
A03-654.3,Comercio al por menor de vehículos aéreos.
A03-654.4,Comercio al por menor de vehículos fluviales y marítimos de vela o motor y deportivos.
A03-654.5,"Comercio al por menor de toda clase de maquinaria (excepto aparatos del hogar, de oficina, médicos, ortopédicos, ópticos y fotográficos)"
A03-654.6,"Comercio al por menor de cubiertas, bandas o bandajes y cámaras de aire para toda clase de vehículos"
A03-655.1,"Comercio al por menor de combustibles de todas clases, excepto gases y carburantes."
A03-655.2,Comercio al por menor de gases combustibles de todas clases.
A03-655.3,Comercio al por menor de carburantes para el surtido de vehículos y aceites  y grasas lubricantes.
A03-659.1,"Comercio al por menor de sellos, monedas, medallas conmemorativas, billetes para coleccionistas, obras de arte y antigüedades, minerales sueltos o en colecciones, fósiles, insectos, conchas, plantas y animales disecados."
A03-659.2,Comercio al por menor de muebles de oficina y de maquinas y equipos de oficina.
A03-659.3,"Comercio al por menor de aparatos e instrumentos médicos, ortopédicos, ópticos y fotográficos."
A03-659.4,"Comercio al por menor de libros, periódicos, artículos de papelería y escritorio, y artículos de dibujo y bellas artes."
A03-659.5,"Comercio al por menor de artículos de joyería, relojería, platería y bisutería."
A03-659.6,"Comercio al por menor de juguetes, artículos de deporte, prendas deportivas de vestido, calzado y tocado, armas, cartuchería y artículos de pirotecnia."
A03-659.7,"Comercio al por menor de semillas, abonos, flores y plantas y pequeños animales."
A03-659.8,Comercio al por menor denominado sex shop.
A03-659.9,"Comercio al por menor de otros productos no especificados en esta agrupación, excepto los que deban clasificarse en el epígrafe 653.9."
A03-661.1,"Comercio en grandes almacenes, entendiendo por tales aquellos establecimientos que ofrecen un surtido amplio y, en general, profundo de varias gamas de productos (principalmente artículos para el equipamiento del hogar, confección, calzado, perfumería, alimentación, etc.), presentados en departamentos múltiples"
A03-661.2,"Comercio en hipermercados, entendiendo por tales aquellos establecimientos que ofrecen principalmente en autoservicio un amplio surtido de productos alimenticios y no alimenticios de gran venta, que disponen, normalmente, de estacionamientos y ponen además diversos servicios a disposición de los clientes."
A03-661.3,"Comercio en almacenes populares, entendiendo por tales aquellos establecimientos que ofrecen en secciones múltiples y venden en autoservicio o en preselección un surtido relativamente amplio y poco profundo de bienes de consumo, con una gama de precios baja y un servicio reducido."
A03-661.9,"Otro comercio mixto o integrado en grandes superficies, entendiendo por tal el realizado de forma especializada en establecimientos con una superficie útil para la exposición y venta al público igual o superior a los 2.500 m² de productos tales como los relacionados con el bricolaje y el equipamiento del hogar, mobiliario para el hogar y la oficina, artículos electrónicos y electrodomésticos, artículos para el automóvil, artículos para el deporte u otros"
A03-662.1,Comercio al por menor de toda clase de artículos en economatos y cooperativas de consumo.
A03-662.2,"Comercio al por menor de toda clase de artículos, incluyendo alimentación y bebidas, en establecimientos distintos de los especificados en el grupo 661 y en el epígrafe 662.1."
A03-663.1,"Comercio al por menor fuera de un establecimiento comercial permanente de productos alimenticios, incluso bebidas y helados."
A03-663.2,Comercio al por menor fuera de un establecimiento comercial permanente de artículos textiles y de confección.
A03-663.3,"Comercio al por menor fuera de establecimiento comercial permanente de calzado, pieles y artículos de cuero."
A03-663.4,Comercio al por menor fuera de un establecimiento comercial permanente de artículos de droguería y cosméticos y de productos químicos en general.
A03-663.9,Comercio al por menor fuera de un establecimiento comercial permanente de otras clases de mercancías no clasificado en otras partes
A03-664.1,Venta de toda clase de artículos diversos en régimen de expositores en deposito.
A03-664.2,Puntos de recarga de vehículos eléctricos
A03-664.9,"Comercio al por menor de artículos diversos no clasificado en otras partes mediante aparatos automáticos, excepto alimentación ,bebidas y tabaco."
A03-671.1,De cinco tenedores.
A03-671.2,De cuatro tenedores
A03-671.3,De tres tenedores
A03-671.4,De dos tenedores.
A03-671.5,De un tenedor.
A03-672.1,De tres tazas.
A03-672.2,De dos tazas.
A03-672.3,De una taza
A03-673.1,De categoría especial.
A03-673.2,Otros cafés y bares
A03-674.1,Servicio en vehículos de tracción mecánica.
A03-674.2,Servicio en ferrocarriles de cualquier clase.
A03-674.3,Servicio en barcos.
A03-674.4,Servicio en aeronaves.
A03-674.5,"Servicios que se presten en sociedades, círculos, casinos, clubes y establecimientos análogos."
A03-674.6,"Servicios establecidos en teatros y demás espectáculos que únicamente permanecen abiertos durante las horas del espectáculo, excepto los bailes y similares."
A03-674.7,Servicios que se prestan en parques o recintos feriales clasificados en el Epígrafe 989.3 de esta Sección 1ª de las Tarifas.
A03-677.1,"Servicios prestados por los establecimientos clasificados en los grupos 671, 672, 673, 682 de las agrupaciones 67 y 68, realizados fuera de dichos establecimientos."
A03-677.9,Otros servicios de alimentación propios de la restauración.
A03-687.1,Campamentos de lujo
A03-687.2,Campamentos de primera clase
A03-687.3,Campamentos de segunda clase
A03-687.4,Campamentos de tercera clase
A03-691.1,Reparación de artículos eléctricos para el hogar.
A03-691.2,"Reparación de vehículos automóviles, bicicletas y otros vehículos."
A03-691.9,Reparación otros bienes consumo no clasificado en otras partes
A03-721.1,Transporte urbano colectivo
A03-721.2,Transporte por autotaxis
A03-721.3,Transporte de viajeros por carretera
A03-721.4,Transporte sanitario en ambulancias
A03-731.1,Transporte marítimo internacional de pasajeros
A03-731.2,Transporte marítimo internacional de mercancías
A03-733.1,"Transporte de cabotaje y por vías navegables interiores,  de viajeros"
A03-733.2,Transporte de cabotaje y por vías navegables interiores de mercancías
A03-733.3,"Servicios de transbordadores, ferry boats y análogos"
A03-733.4,Transporte marítimo de pasajeros mediante los denominados Jet-Foil y similares
A03-741.1,Transporte aéreo nacional de viajeros (servicios regulares).
A03-741.2,Transporte aéreo nacional de mercancías (servicios regulares).
A03-741.3,"Transporte aéreo internacional de viajeros, servicios regulares"
A03-741.4,Transporte aéreo internacional de mercancías (servicios regulares).
A03-742.1,Transporte aéreo nacional de viajeros (servicios no regulares).
A03-742.2,Transporte aéreo nacional de mercancías (servicios no regulares)
A03-742.3,Transporte aéreo internacional de viajeros chárter (servicios no regulares).
A03-742.4,Transporte aéreo internacional de mercancías chárter  (servicios no regulares).
A03-751.1,Guardia y custodia de vehículos en garajes y locales cubiertos
A03-751.2,"Guardia y custodia de vehículos en los denominados aparcamientos subterráneos o ""parkings""."
A03-751.3,Guardia y custodia de vehículos en solares o terrenos sin edificar
A03-751.4,"Explotación de autopistas, carreteras, puentes y túneles de peaje"
A03-751.5,Engrase y lavado de vehículos
A03-751.6,Servicios de carga y descarga de mercancías
A03-752.1,Servicios de pilotaje y prácticos en  puertos
A03-752.2,Servicios de transbordo de unos barcos a otros
A03-752.3,Servicios de remolque de navíos
A03-752.4,"Servicios de limpieza, desinfección y similares a cargo de personal ajeno al barco"
A03-752.5,Servicios de salvamento y recuperación de barcos
A03-752.6,Servicios de carga y descarga de buques
A03-752.7,"Servicios de explotación y mantenimiento de puertos, canales, diques, etc."
A03-752.8,Servicios de señales marítimas y costeras
A03-753.1,Terminales de líneas de transporte aéreo en aeropuertos
A03-753.2,Servicio de control de navegación aérea
A03-753.3,Servicios de hangares y estacionamiento de aeronaves
A03-753.4,"Servicios de remolque, limpieza y mantenimiento de aeronaves"
A03-753.5,Explotación integral de aeropuertos
A03-753.9,Otros servicios anexos al transporte aéreo no clasificados en otras partes
A03-754.1,Depósitos y almacenes generales
A03-754.2,Depósitos y almacenes de vehículos
A03-754.3,Silos y otros almacenes de granos
A03-754.4,Almacenes frigoríficos
A03-754.5,Almacenes y depósitos de líquidos
A03-754.6,Guardamuebles
A03-754.9,Otros depósitos y almacenes especiales no clasificados en otras partes
A03-761.1,Servicio de telefonía fija
A03-761.2,Servicio de telefonía móvil
A03-819.1,Instituciones de crédito
A03-819.2,Establecimientos financieros de crédito
A03-819.3,Establecimientos financieros de crédito que realicen la actividad de préstamos y crédito
A03-819.4,"Establecimientos financieros de crédito que realicen la actividad de ""factoring"", con o sin recurso."
A03-819.5,Establecimientos financieros de crédito que realicen la actividad de arrendamiento financiero
A03-819.6,Entidades de cambio de moneda
A03-819.9,Otras entidades financieras no clasificados en otras partes
A03-831.1,Servicios de compra y venta y contratación de valores mobiliarios
A03-831.2,Servicios financieros  de contratación de productos
A03-831.3,Servicios de compensación bancaria
A03-831.9,Otros servicios financieros no clasificados en otras partes
A03-832.1,Agencias de seguros y corredurías de seguros
A03-832.2,Servicios de tasación y tarificación de seguros
A03-832.9,Otros servicios auxiliares de seguros no clasificados en otras partes
A03-833.1,Promoción de terrenos
A03-833.2,Promoción de edificaciones
A03-843.1,Servicios técnicos de ingeniería
A03-843.2,Servicios técnicos de arquitectura y urbanismo
A03-843.3,Servicios técnicos de prospecciones y estudios geológicos
A03-843.4,Servicios técnicos de topografía
A03-843.5,Servicios técnicos de delineación
A03-843.6,Inspección técnica de vehículos
A03-843.9,Otros servicios técnicos no clasificados en otras partes
A03-849.1,Cobros de deudas y confección facturas
A03-849.2,"Servicios mecanográficos, taquigráficos,  de reproducción de escritos, planos y documentos"
A03-849.3,Servicios de traducción y similares
A03-849.4,"Servicios de custodia, seguridad y protección"
A03-849.5,"Servicios de mensajería, recadería y reparto y manipulación de correspondencia"
A03-849.6,Servicios colocación y suministro de personal
A03-849.7,Servicios de gestión administrativa
A03-849.8,Multiservicios intensivos en personal
A03-849.9,Otros servicios independientes no clasificados en otras partes
A03-854.1,Alquiler automóviles sin conductor
A03-854.2,"Alquiler automóviles sin conductor en régimen de ""renting""."
A03-855.1,Alquiler de aeronaves de todas clases
A03-855.2,Alquiler de embarcaciones
A03-855.3,Alquiler de bicicletas
A03-855.9,Alquiler otros medios transporte no clasificados en otras partes.
A03-856.1,Alquiler de bienes de consumo
A03-856.2,Alquiler de películas de video
A03-857.1,"Alquiler de basculas, balanzas y demás aparatos de pesar y medir, excepto los denominados contadores de medida"
A03-857.2,Servicios de pesa a medida sin alquiler del aparato
A03-857.3,Alquiler de contadores para automóviles
A03-857.4,"Alquiler, lectura y  conservación de contadores de energía eléctrica"
A03-857.5,Lectura y conservación por un tanto alzado de contadores de energía eléctrica
A03-857.6,"Alquiler, lectura y conservación de contadores de gas"
A03-857.7,Lectura y conservación por un tanto alzado de contadores de gas
A03-857.8,"Alquiler, lectura y conservación de contadores de agua"
A03-857.9,Lectura y conservación por un tanto alzado de contadores de agua
A01-861.1,Alquiler de viviendas
A01-861.2,Alquiler de locales industriales y otros alquileres no clasificados en otras partes
A03-921.1,"Servicios de limpieza de calles, vías públicas y jardines"
A03-921.2,Servicios de recogida de basuras y desechos
A03-921.3,Exterminio de animales dañinos y desinfección de cualquier clase
A03-921.4,"Servicios de alcantarillado, evacuación y depuración de aguas residuales"
A03-921.5,Servicios incineración y eliminación de basuras y desechos
A03-921.6,"Servicios de protección y acondicionamiento ambiental: Contra ruidos, vibraciones, contaminación, etc."
A03-921.7,Servicios de protección contra incendios y accidentes
A03-921.8,Servicios de  administración de cementerios
A03-921.9,Otros servicios de saneamiento y similares no clasificados en otras partes
A03-931.1,"Guardería y enseñanza de educación infantil, exclusivamente"
A03-931.2,"Enseñanza de Educación Básica: Educación Primaria y/o Educación Secundaria Obligatoria, exclusivamente"
A03-931.3,"Enseñanza de Bachillerato, Orientación Universitaria, Formación Profesional y ciclos formativos de Formación Profesional Específica de Grado Medio y Grado Superior, exclusivamente"
A03-931.4,Enseñanza de más de una modalidad de las recogidas en los epígrafes anteriores
A03-931.5,Enseñanza de Educación Superior
A03-932.1,"Enseñanza de formación y perfeccionamiento profesional, no superior."
A03-932.2,Enseñanza de formación y perfeccionamiento profesional superior
A03-933.1,"Enseñanza de conducción de vehículos terrestres, acuáticos, aeronáuticos, etc."
A03-933.2,Promoción de cursos y estudios en el extranjero
A03-933.9,"Otras actividades de enseñanza, tales como idiomas, corte y confección, mecanografía, taquigrafía, preparación de exámenes y oposiciones y similares no clasificado en otras partes"
A03-935.1,Colegios mayores
A03-935.2,Residencias de estudiantes
A03-941.1,Hospitales generales
A03-941.2,"Hospitales especializados (quirúrgicos, maternidades, infantiles, psiquiátricos, etc.)"
A03-942.1,"Consultorios médicos, centros de socorro, sanitarios y clínicos de urgencia"
A03-942.2,Balnearios y baños
A03-942.9,"Otros servicios sanitarios sin internado, no clasificados en este grupo"
A03-961.1,Producción de películas cinematográficas (incluso vídeos).
A03-961.2,"Doblaje, sincronización y montaje de películas o cintas cinematográficas (incluso videos), siempre que no se efectué por la propia empresa productora"
A03-961.3,Decoraciones escénicas para películas o cintas cinematográficas siempre que no se efectúe por la empresa productora
A03-962.1,"Distribución y venta de películas cinematográficas, excepto de películas en soporte de cinta magnetoscópica."
A03-962.2,Distribución y venta al por mayor de películas cinematográficas en soporte de cinta magnetoscópica.
A03-963.1,Exhibición de películas cinematográficas y videos
A03-963.2,Exhibición de películas cinematográficas y videos al aire libre
A03-963.3,Exhibición de películas cinematográficas y videos fuera de establecimiento permanente
A03-963.4,"Exhibición de películas cinematográficas y videos en establecimientos distintos de los especificados en los epígrafes 963.1, 963.2 y 963.3 anteriores"
A03-964.1,Servicios de radiodifusión
A03-964.2,Servicios de televisión
A03-964.3,Servicios de enlace y transmisíón de  señales de televisión
A03-965.1,Espectáculos en salas y locales excepto espectáculos taurinos
A03-965.2,Espectáculos al aire libre (excepto espectáculos taurinos).
A03-965.3,Espectáculos fuera de establecimiento permanente (excepto espectáculos taurinos).
A03-965.4,Empresas de espectáculos
A03-965.5,Espectáculos taurinos
A03-966.1,Bibliotecas y museos
A03-966.2,"Parques zoológicos, jardines botánicos y similares"
A03-966.9,Otros servicios culturales no clasificados en otras partes
A03-967.1,Instalaciones deportivas
A03-967.2,Escuelas y servicios de perfeccionamiento del deporte
A03-967.3,Alquiler de artículos para deporte en instalaciones deportivas
A03-968.1,Instalaciones para la celebración de espectáculos deportivos
A03-968.2,Organización de espectáculos deportivos en instalaciones que no sean de la titularidad de los organizadores
A03-968.3,Organización de espectáculos deportivos por Federaciones españolas y de ámbito autonómico y clubes no profesionales
A03-969.1,Salas de baile y discotecas
A03-969.2,Casinos de juego
A03-969.3,Juegos de bingo
A03-969.4,Maquinas recreativas y de azar
A03-969.5,"Juegos de billar, ping-pong, bolos y otros."
A03-969.6,Salones recreativos y de juego
A03-969.7,Otras maquinas automáticas
A03-971.1,"Tinte, limpieza en seco, lavado y planchado de ropas hechas y de prendas y artículos del hogar usados"
A03-971.2,Limpieza y teñido del calzado
