codigo,descripcion
A05-412,"Ingenieros de Caminos, Canales y Puertos"
A03-415,Fabricación de jugos y conservas vegetales
A03-416,Fabricación de conservas de pescado y otros productos marinos
A03-420,Industria del azúcar
A05-421,Arquitectos Técnicos y Aparejadores
A05-422,"Ingenieros Técnicos de Obras Publicas, Ayudantes y Peritos"
A03-426,Sidrerías
A03-427,Fabricación de cerveza y malta cervecera
A05-431,Delineantes
A05-432,Decoradores diseñadores de interiores
A03-433,Industria de la seda natural y sus mezclas y de las fibras artificiales y sintéticas
A03-434,Industria de las fibras duras y sus mezclas
A03-436,Acabado de textiles
A03-441,Curticion y acabado de cueros y pieles
A05-441,Técnicos Superiores en Desarrollo de Proyectos Urbanísticos y Operaciones Topográficas
A03-451,Fabricación en serie de calzado (excepto el de caucho y madera)
A05-451,Ingenieros en geodesia y cartografía
A03-452,Fabricación de calzado de artesanía y a medida ( incluido el calzado ortopédico)
A03-453,Confección en serie de toda clase de prendas de vestir y sus complementos
A03-454,Confección a medida de prendas de vestir y sus complementos
A03-461,"Aserrado y preparación industrial de la madera (aserrado, cepillado, pulido, lavado, etc.)."
A03-463,"Fabricación en serie de piezas de carpintería, parquet y estructuras de madera para la construcción"
A03-464,Fabricación de envases y embalajes de madera.
A03-465,Fabricación de objetos diversos de madera (excepto muebles).
A03-466,Fabricación de productos de corcho
A03-467,"Fabricación de artículos de junco y caña,  cestería, brochas, cepillos, etc. (excepto muebles)."
A03-471,Fabricación de pasta papelera
A03-472,Fabricación de papel y cartón
A03-474,Artes graficas (impresión grafica).
A03-475,Actividades anexas a las artes graficas
A03-492,Fabricación de instrumentos de música
A03-493,Laboratorios fotográficos y cinematográficos
A05-499,Otros profesionales relacionados con la construcción no clasificados en otras partes
A03-507,"Construcción, reparación y conservación de toda clase de obras"
A03-508,Agrupaciones y uniones temporales de empresas
A05-511,Agentes Comerciales
A05-521,Técnicos en hostelería
A05-599,Otros profesionales relacionados con el comercio y la hostelería  no clasificados en otras partes
A03-611,Comercio al por mayor de toda clase de mercancías especificadas en los grupos 612 al 617 y 619
A05-611,Agentes de ferrocarriles
A05-612,Conductores de vehículos terrestres
A03-621,Comercio al por mayor de chatarra y metales de desecho férreos y no férreos.
A03-622,Comercio al por mayor de otros productos de recuperación.
A03-623,Recuperación y comercio de residuos fuera de establecimiento permanente
A03-631,Intermediarios del comercio
A03-641,"Comercio al por menor de frutas, verduras, hortalizas y tubérculos."
A03-645,Comercio al por menor de vinos y bebidas de todas clases.
A03-656,"Comercio al por menor de bienes usados tales como muebles, prendas y enseres ordinarios de uso domestico."
A03-657,"Comercio al por menor de instrumentos musicales, así como de sus accesorios."
A03-665,Comercio al por menor por correo o por catalogo de productos diversos.
